store_id,store_name,address,status,place_id_returned,elapsed_s,note
4c1fa21b-d5e6-4277-84ec-c349d160ed11,오빠PC 부평점,인천 부평구 부평동 193-18,collected,1614585347,45.6,
4cb89a75-0df7-4c0e-86ff-b5c37a215e9a,고기서고기,경기 광명시 광명동 56-3 1층,place_not_found,,48.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
1d5d176f-aab3-4d2a-bf95-b1a401fac068,선학사골순대국,인천 미추홀구 석바위로 59-1 1층 (주안동),collected,1068702541,76.9,
266380c6-0225-4eda-b72d-6f34e7aa67c4,가족식당 장곡갈비,경기 시흥시 인선1길 8 2층,place_not_found,,49.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
06744f7c-41f2-4bfd-86b2-0599432c16a1,오늘은삼겹살 1호점,인천 남동구 간석동 228-5,collected,1713319064,46.1,
c53f66db-f00e-447a-bbaa-d1b7bf3e57a1,미완성 부천상동점,경기 부천시 상동 545-1,collected,1422582938,51.0,
00d22ab1-3478-4b9c-a5a3-75b9531ada8d,모밀지기,"인천 남동구 구월로372번길 40 1층 101호, 102호",place_not_found,,49.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
38279bfa-0df1-496d-8a3d-6ed21f498da5,제주똥돼지마을,경기 부천시 원종동 221,collected,1956527490,51.6,
49cadb5a-e671-4472-8ce2-bc27cdfab2f2,코지하우스 인천부평점,인천 부평구 십정동 162-7,error,,34.5,불완전 렌더 — DB 기존 데이터 보존
4fe834ea-8698-41c1-a2f5-501166ee0e08,오리사냥,인천 부평구 부평동 546-3,error,,32.3,불완전 렌더 — DB 기존 데이터 보존
1692af72-69c5-4e07-a094-922b982e029c,제주뀨상회 시흥정왕점,경기 시흥시 정왕동 1869 101호,place_not_found,,49.7,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
98178f40-9b2d-4394-882e-fb092c39b8a3,무봉리토종순대국 대부도점,경기 안산시 단원구 대부북동 1226-1 1층,place_not_found,,49.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
41cc74ff-f428-416b-8581-3afb8e565228,미소래떡,경기 광명시 광명동 200-6 1층,place_not_found,,52.7,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
67347eb1-c40f-4796-b404-2bd80a2dd626,올통,인천 남동구 만수동 886-16,collected,1303475432,50.5,
7e5e987c-050f-4791-9b9a-b5d9a6061d50,대가 함흥냉면,경기 광주시 도척면 궁평리 543-4 1층,place_not_found,,49.5,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
9f0f9a98-1a64-4fc4-a0e3-59c0af60f22d,춘천해장국,인천 미추홀구 주안동 202-1,error,,21.5,Application failed to respond
